12028	85756
12028	68232
12029	12029
12031	12031
12034	12034
12037	12037
12039	12039
12039	4060
12041	12041
12042	12042
12046	12046
12048	12048
12049	12049
12050	12050
12052	12052
12053	12053
12053	51500
12054	12054
12055	12055
12056	12056
12057	12057
12058	12058
12059	12059
13842	13842
13842	71718
13844	13844
13846	13846
13848	13848
13850	13850
13850	3054
13850	3879
13850	14317
13850	17251
13850	58152
13850	72373
13851	13851
13853	13853
13854	13854
13855	13855
13857	13857
13857	9375
13857	34347
13857	78018
13862	13862
13863	13863
13864	13864
13865	13865
13869	13869
13869	11757
13869	19681
13869	32665
13869	33177
13869	62710
13871	13871
13877	13877
13882	13882
13882	15041
13882	27712
13884	13884
13885	13885
13889	13889
13891	13891
13892	13892
13892	2315
13894	13894
13896	13896
13899	13899
13902	13902
13903	13903
13905	13905
13906	13906
13906	3280
13909	13909
13910	13910
13911	13911
13912	13912
13913	13913
13915	13915
13917	13917
13918	13918
13920	13920
13924	13924
13924	32282
13924	33936
13925	13925
13925	52968
13925	72673
13926	13926
13927	13927
13929	13929
13930	13930
13931	13931
13934	13934
13935	13935
13937	13937
13939	13939
13943	13943
13948	13948
13948	22313
13948	41596
13948	72801
13951	13951
13952	13952
13954	13954
13956	13956
13956	20447
13956	34852
13956	37875
13956	41447
13956	54377
13956	58177
13956	67771
13956	71793
13957	13957
13957	95
13958	13958
13959	13959
13959	20785
13963	13963
13964	13964
13965	13965
13969	13969
13970	13970
13973	13973
13975	13975
14360	14360
14361	14361
14363	14363
14364	14364
14366	14366
14370	14370
14374	14374
14377	14377
14377	9240
14377	21450
14378	14378
14379	14379
14381	14381
14382	14382
14382	16459
14382	37197
14382	73009
14382	2281
14382	2665
14382	3600
14382	5926
14382	10339
14382	11657
14382	30588
14382	38955
14382	55712
14382	56806
14382	58293
14382	81996
14385	14385
14386	14386
14386	12196
14388	14388
14390	14390
14390	28185
14391	14391
14393	14393
14394	14394
14400	14400
14401	14401
14402	14402
14404	14404
14408	14408
14409	14409
14409	11316
14409	15987
14409	60471
14409	74532
14409	85062
14409	86014
14414	14414
14417	14417
14418	14418
14419	14419
14421	14421
14421	8921
14421	12411
14421	78535
14421	7388
14421	8382
14421	61897
14422	14422
14422	16515
14422	26872
14423	14423
14426	14426
14428	14428
14431	14431
14434	14434
14435	14435
14436	14436
14436	5934
14437	14437
14440	14440
14441	14441
14442	14442
